Day;Phase;New_cases;Theoretical cases;;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9
161;1.385743608843717;34822;33862.01304237978;;1.0;0.1839983516576802;0.9829265519799822;-0.9322892131745132;0.3617137307297676;-0.5270777086423719;-0.8498170915275279;0.7383263540031063;-0.6744436188329457;0.7987793728863654;0.6016240632249219;-0.4443781781046138;0.8958392907349086;-0.9623090774541486;-0.2719581575341055;0.0902516100310404;-0.9959189961471792;0.9955213724144752;-0.0945367498172003
168;1.445993330967357;37587;37755.77041034525;;1.0;0.1244792638867891;0.9922222094179324;-0.9690098257244062;0.2470221804809355;-0.3657225234972692;-0.9307239310379792;0.8779600847008883;-0.4787338401157883;0.5842981736283681;0.8115390590073613;-0.7324940716135787;0.6807734094770164;-0.7666588193001584;-0.6420547132365644;0.5416278206559817;-0.840618405634478;0.901501684131884;0.432775592550431
175;1.5062430530909965;39306;41371.2730889244;;1.0;0.0645084494493165;0.9979171608653922;-0.99167731989929;0.1287481774525813;-0.1924515819708303;-0.9813064702716092;0.9668478136052772;-0.2553532951161881;0.3171912885891077;0.948361580012171;-0.9259247771938496;0.3777079652039655;-0.4366512319560652;-0.8996308696522427;0.8695893893466099;-0.4937755501599791;0.5488429582847216;0.8359254794186353
182;1.5664927752146365;43553;44406.71293375915;;1.0;0.0043035382962442;0.99999073973619;-0.9999629591162656;0.0086069968886886;-0.0129102960750097;-0.999916658654738;0.9998518392091162;-0.0172133561558352;0.0215160974362227;0.9997685019798908;-0.9996666485105112;0.0258184402271342;-0.0301203048469086;-0.9995462806873572;0.9994074007397048;-0.0344216116227469;0.0387222808921765;0.9992500112396834
189;1.6267424973382765;44406;46565.33682710955;;1.0;-0.0559169901006031;0.9984354211555644;-0.993746580436178;-0.1116590071216944;0.1670516255021191;-0.9859481499638304;0.9750645322571948;0.2219215130041654;-0.2760969730974695;0.9611297838723004;-0.9441875088341994;-0.3294084822245299;0.381689220266658;-0.9242907221930936;0.901501684131884;0.432775592550431;-0.4825077417612188;0.8758917051442426
196;1.6869922194619162;49775;47622.35185304411;;1.0;-0.1159345995955004;0.9932568492674144;-0.973118337233262;-0.2303056702306119;0.3415707691678551;-0.9398560579418956;0.8939185965192572;0.4482293417404102;-0.5488429582847194;0.8359254794186368;-0.7666588193001597;-0.642054713236563;0.7266075247685643;-0.6870527672236684;0.5981809144059171;0.801361088174676;-0.865307254363206;0.5012418134457758
203;1.7472419415855562;50177;47483.910028813785;;1.0;-0.1755314904214281;0.9844738167520922;-0.9383773917408642;-0.3456123126707333;0.5049610547215206;-0.8631421280499113;0.7611042586607746;0.6486295610349815;-0.7721565844991641;0.6354323008901777;-0.4900286664290588;-0.871706318709322;0.9441875088341992;-0.3294084822245308;0.1585593851031345;0.9873494423939864;-0.9998518392091162;-0.0172133561558353
210;1.8074916637091962;45999;46222.36284528634;;1.0;-0.2344913895704098;0.9721181966290612;-0.8900275764346766;-0.455906693508459;0.6518989958787125;-0.7583058084785625;0.5842981736283681;0.8115390590073613;-0.9259247771938502;0.3777079652039639;-0.1500553983446528;-0.9886775902323404;0.9962981749346076;0.0859647987374468;-0.3171912885891069;0.9483615800121712;-0.8475409228928303;-0.5307300481619346
217;1.8677413858328358;41814;44077.155640135294;;1.0;-0.2926003356333482;0.9562348265919056;-0.828770087174504;-0.5595892624101763;0.7775971469736266;-0.6287628145958348;0.3737197147904696;0.9275416835791964;-0.9962981749346076;0.0859647987374477;0.2093146459630477;-0.977848341505657;0.8738071036110818;0.4862727071086883;-0.72066714955386;0.6932812268869787;-0.4520722039323068;-0.8919813464595472
224;1.9279911079564758;39452;41418.90222742407;;1.0;-0.3496474552512284;0.9368813462954316;-0.7554933140726804;-0.655156357209085;0.8779600847008878;-0.478733840115789;0.1415402952170434;0.989932495087353;-0.9769384927771816;-0.2135209154397961;0.5416278206559803;-0.840618405634479;0.5981809144059171;0.801361088174676;-0.9599326896597444;0.2802306751992168;0.0730951298980772;-0.9973249731081556
