Day;Phase;New_cases;Theoretical cases;;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9;a10;b10;a11;b11;a12;b12;a13;b13;a14;b14;a15;b15;a16;b16;a17;b17;a18;b18;a19;b19;a20;b20
147;1.2652441645964374;126;427.59316922654176;;1.0;0.3008198076356674;0.9536809966304456;-0.8190148866680801;0.5737722679043246;-0.7935716089521472;-0.6084768701151264;0.341570769167856;-0.9398560579418952;0.99907411510223;0.0430222330045306;0.259511797069799;0.9657399376548552;-0.8429415373547836;0.5380051715382985;-0.7666588193001584;-0.6420547132365644;0.3816892202666597;-0.9242907221930928;0.9962981749346076;0.0859647987374468;0.21772323039653;0.9760105506323686;-0.8653072543632069;0.5012418134457742;-0.7383263540031056;-0.6744436188329463;0.4211008707960919;-0.9070138128026348;0.99167731989929;0.1287481774525813;0.1755314904214261;0.9844738167520926;-0.8860706215341396;0.4635502709028478;-0.7086266782644587;-0.7055836101071788;0.4597327394521067;-0.8880573226294918;0.9852201067560604;0.1712931441814783
154;1.3254938867200772;103;503.3679254862318;;1.0;0.2428497220959356;0.9700639218515072;-0.8820480249558537;0.4711595076738638;-0.6712599575675315;-0.7412220108485957;0.5560174366570446;-0.8311706263658079;0.9413173175128472;0.3375228995941129;-0.0988201387328716;0.9951053111006976;-0.9893142039703664;0.145799196919874;-0.3816892202666588;-0.9242907221930932;0.8039279618328212;-0.5947266869607635;0.7721565844991647;0.635432300890177;-0.4288919379124842;0.9033558023246842;-0.980469160361632;-0.1966728897935766;-0.0473213883224319;-0.9988797155850336;0.9574851883550396;-0.2884824328806077;0.5123714121284243;0.8587639582758025;-0.70862667826446;0.7055836101071775;-0.8565509959010027;-0.5160623910158543;0.292600335633348;-0.9562348265919056;0.998666816288476;0.0516196672232547;0.1924515819708311;0.9813064702716092
161;1.385743608843717;94;44.37491694075297;;1.0;0.1839983516576802;0.9829265519799822;-0.9322892131745132;0.3617137307297676;-0.5270777086423719;-0.8498170915275279;0.7383263540031063;-0.6744436188329457;0.7987793728863654;0.6016240632249219;-0.4443781781046138;0.8958392907349086;-0.9623090774541486;-0.2719581575341055;0.0902516100310404;-0.9959189961471792;0.9955213724144752;-0.0945367498172003;0.2760969730974704;0.9611297838723004;-0.8939185965192569;0.4482293417404109;-0.6050560696488483;-0.7961828637826162;0.6712599575675305;-0.7412220108485966;0.8520775211013093;0.5234156073655502;-0.3576982388331232;0.933837228822926;-0.98370929377361;-0.1797665857255609;-0.004303538296244;-0.99999073973619;0.982125605868;-0.1882267098432463;0.36572252349727;0.930723931037979;-0.8475409228928295;0.530730048161936
168;1.445993330967357;30;-379.56650958300844;;1.0;0.1244792638867891;0.9922222094179324;-0.9690098257244062;0.2470221804809355;-0.3657225234972692;-0.9307239310379792;0.8779600847008883;-0.4787338401157883;0.5842981736283681;0.8115390590073613;-0.7324940716135787;0.6807734094770164;-0.7666588193001584;-0.6420547132365644;0.5416278206559817;-0.840618405634478;0.901501684131884;0.432775592550431;-0.3171912885891069;0.9483615800121712;-0.980469160361632;-0.1966728897935766;0.0730951298980772;-0.9973249731081556;0.998666816288476;-0.0516196672232528;0.1755314904214261;0.9844738167520926;-0.9549667548552552;0.2967128192734906;-0.4132786077829034;-0.9106046300942164;0.8520775211013103;-0.5234156073655486;0.6254105729852466;0.7802958510707753;-0.6963762255968727;0.7176769136759614;-0.7987793728863638;-0.601624063224924
175;1.5062430530909965;44;-213.05446352022437;;1.0;0.0645084494493165;0.9979171608653922;-0.99167731989929;0.1287481774525813;-0.1924515819708303;-0.9813064702716092;0.9668478136052772;-0.2553532951161881;0.3171912885891077;0.948361580012171;-0.9259247771938496;0.3777079652039655;-0.4366512319560652;-0.8996308696522427;0.8695893893466099;-0.4937755501599791;0.5488429582847216;0.8359254794186353;-0.7987793728863628;0.6016240632249255;-0.6518989958787145;-0.7583058084785609;0.7146733860429599;-0.6994583270516481;0.7441039398713634;0.6680638642135305;-0.6186714032625011;0.7856498550787162;-0.8239230057575573;-0.5667017562911132;0.5123714121284199;-0.8587639582758052;0.8900275764346781;0.4559066935084558;-0.3975428142825505;0.917583626059396;-0.9413173175128486;-0.3375228995941088;0.2760969730974619;-0.9611297838723027
182;1.5664927752146365;45;323.14833364266383;;1.0;0.0043035382962442;0.99999073973619;-0.9999629591162656;0.0086069968886886;-0.0129102960750097;-0.999916658654738;0.9998518392091162;-0.0172133561558352;0.0215160974362227;0.9997685019798908;-0.9996666485105112;0.0258184402271342;-0.0301203048469086;-0.9995462806873572;0.9994074007397048;-0.0344216116227469;0.0387222808921765;0.9992500112396834;-0.99907411510223;0.0430222330045315;-0.0473213883224319;-0.9988797155850336;0.9986668162884758;-0.0516196672232564;0.0559169901006048;0.9984354211555642;-0.9981855344718584;0.0602132773657937;-0.0645084494493196;-0.997917160865392;0.9976303053065856;-0.0688024268023222;0.0730951298980789;0.9973249731081556;-0.9970011699250148;0.077386479233467;-0.0816763953304256;-0.9966589017541698;0.9962981749346076;-0.0859647987374485
189;1.6267424973382765;46;503.20330241820807;;1.0;-0.0559169901006031;0.9984354211555644;-0.993746580436178;-0.1116590071216944;0.1670516255021191;-0.9859481499638304;0.9750645322571948;0.2219215130041654;-0.2760969730974695;0.9611297838723004;-0.9441875088341994;-0.3294084822245299;0.381689220266658;-0.9242907221930936;0.901501684131884;0.432775592550431;-0.4825077417612188;0.8758917051442426;-0.8475409228928303;-0.5307300481619346;0.5772916165517263;-0.8165380514459167;0.782980103677063;0.6220467484408673;-0.6648553979642868;0.746972087696555;-0.7086266782644612;-0.7055836101071763;0.7441039398713598;-0.6680638642135345;0.6254105729852466;0.7802958510707753;-0.8140460935082181;0.5808002734538006;-0.5343725582809778;-0.8452490573530638;0.87380710361108;-0.4862727071086913;0.4366512319560611;0.8996308696522447
196;1.6869922194619162;86;74.77683437117417;;1.0;-0.1159345995955004;0.9932568492674144;-0.973118337233262;-0.2303056702306119;0.3415707691678551;-0.9398560579418956;0.8939185965192572;0.4482293417404102;-0.5488429582847194;0.8359254794186368;-0.7666588193001597;-0.642054713236563;0.7266075247685643;-0.6870527672236684;0.5981809144059171;0.801361088174676;-0.865307254363206;0.5012418134457758;-0.3975428142825554;-0.917583626059394;0.9574851883550386;-0.2884824328806111;0.1755314904214296;0.984473816752092;-0.9981855344718584;0.0602132773657937;0.0559169901005996;-0.9984354211555644;0.9852201067560612;0.1712931441814748;-0.2843591872810016;0.958717816987297;-0.919285969718611;-0.3935902766564655;0.4975132889071801;-0.8674563547295971;0.8039279618328232;0.5947266869607607;-0.6839194216246113;0.7295575540864868
203;1.7472419415855562;120;-368.9624241569539;;1.0;-0.1755314904214281;0.9844738167520922;-0.9383773917408642;-0.3456123126707333;0.5049610547215206;-0.8631421280499113;0.7611042586607746;0.6486295610349815;-0.7721565844991641;0.6354323008901777;-0.4900286664290588;-0.871706318709322;0.9441875088341992;-0.3294084822245308;0.1585593851031345;0.9873494423939864;-0.9998518392091162;-0.0172133561558353;0.1924515819708294;-0.9813064702716094;0.9322892131745132;0.3617137307297677;-0.5197438121555163;0.8543221697498264;-0.7498264012045676;-0.6616346182422794;0.7829801036770621;-0.6220467484408686;0.4749510720670509;0.8800122039735353;-0.9497178427914316;0.3131070409358266;-0.1415402952170425;-0.9899324950873531;0.9994074007397048;0.034421611622747;-0.2093146459630469;0.9778483415056572;-0.9259247771938502;-0.3777079652039639
210;1.8074916637091962;91;-176.61332924093597;;1.0;-0.2344913895704098;0.9721181966290612;-0.8900275764346766;-0.455906693508459;0.6518989958787125;-0.7583058084785625;0.5842981736283681;0.8115390590073613;-0.9259247771938502;0.3777079652039639;-0.1500553983446528;-0.9886775902323404;0.9962981749346076;0.0859647987374468;-0.3171912885891069;0.9483615800121712;-0.8475409228928303;-0.5307300481619346;0.7146733860429624;-0.6994583270516456;0.5123714121284213;0.8587639582758043;-0.9549667548552552;0.2967128192734906;-0.0645084494493161;-0.9979171608653922;0.9852201067560604;0.1712931441814783;-0.3975428142825571;0.9175836260593933;-0.7987793728863638;-0.601624063224924;0.7721565844991658;-0.6354323008901755;0.4366512319560611;0.8996308696522447;-0.9769384927771816;0.213520915439796;0.0215160974362263;-0.9997685019798908
